"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"547","TWrex-diagnose","mumps","190","195","virus","196","201","Cultured neurons from rat dorsal root ganglia and cerebral cortex were infected with Sendai virus, which gives a productive replication with lysis of most neurons, and with the RW strain of mumps virus, which undergoes defective replication causing degeneration of only 30-40% of the neurons within 5 days after initial infection"
"548","TWrex-diagnose","tuberculosis","53","65","tuberculin","239","249","Circulating monocytes from four of six patients with tuberculosis functioned as suppressor cells; depletion of adherent cells from mononuclear cells obtained from the peripheral blood of these patients resulted in a 37-fold enhancement in tuberculin purified protein derivative-induced incorporation of [3H]thymidine"
"549","TWrex-diagnose","disorder","102","110","dexamethasone","133","146","We investigated the 1-mg dexamethasone suppression test (DST) in 41 outpatients with major depressive disorder assessing the role of dexamethasone blood level, age and basal cortisol on DST results"
"550","TWrex-diagnose","cushing's syndrome","35","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test"
"551","TWrex-diagnose","pulmonary tb","237","249","TB","139","141","In the present study, IFN-gamma secretion by peripheral blood mononuclear cells (PBMCs) in response to M. tuberculosis ESAT-6 in Brazilian TB patients was investigated in relation to clinical disease types, such as pleurisy and cavitary pulmonary TB"
"552","TWrex-diagnose","tuberculosis","12","24","TB","26","28","BACKGROUND: Tuberculosis (TB) is still a major public health problem that continues to be an important cause of morbidity and mortality at worldwide level"
"553","TWrex-diagnose","syndrome","45","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test"
"554","TWrex-diagnose","tuberculosis","84","96","PPD","111","114","In vitro proliferative response of lung cells from mice infected with Mycobacterium tuberculosis H37Rv against PPD and Con A was studied"
"555","TWrex-diagnose","tuberculosis","3","15","PPD","16","19","M. tuberculosis PPD, M. tuberculosis antigen 6, and M. tuberculosis culture filtrate were, in descending order, less accurate"
"556","TWrex-diagnose","tuberculosis","225","237","tuberculin","126","136","The mean size of TR of 60 patients was 24.0 +/- 13.9 mm and maximum size was 60 mm. Seven patients who had no reaction to the tuberculin skin test consisted of three primary complex and four serious tuberculosis (two miliary tuberculosis and two tuberculous meningitis"
"557","TWrex-diagnose","TB","120","122","tuberculin","67","77","Although BCG vaccination interferes with the interpretation of the tuberculin skin test (TST), newer tests (QuantiFERON-TB Gold, T-SPOT.TB) are unaffected by BCG vaccination"
"558","TWrex-diagnose","pulmonary tb","97","109","TB","129","131","There was a significantly higher incidence of TB, particularly amongst cases with smear-negative pulmonary TB and extrapulmonary TB, in the semi-urban population compared with the rural population"
"559","TWrex-diagnose","tuberculosis","121","133","TB","135","137","Peripheral CD4 T-cell depletion has been observed in human immunodeficiency virus (HIV)-negative patients with pulmonary tuberculosis (TB"
"560","TWrex-diagnose","bladder","82","89","bethanechol chloride","15","35","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"561","TWrex-diagnose","tuberculosis","146","158","tuberculin","85","95","The high prevalence of A(*)-in positivity in Burma, its reciprocal relationship with Tuberculin there and the results for all the antigens in the tuberculosis patients indicate that the cell mediated skin test response may have a threshold"
"562","TWrex-diagnose","thyroid","138","145","thyrotrophin releasing hormone","254","284","Although levels of thyroxine and triiodothyronine were lower after treatment (p less than 0.05), there were no changes in basal levels of thyroid-stimulating hormone (TSH), luteinizing hormone (LH) or follicle-stimulating hormone (FSH), and responses to thyrotrophin releasing hormone (TRH) and luteinizing hormone releasing hormone (LHRH) were unchanged"
"563","TWrex-diagnose","bladder","82","89","bethanechol","15","26","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"564","TWrex-diagnose","diabetes insipidus","22","40","vasopressin","104","115","She had suffered from diabetes insipidus for ten years, and hormonal study revealed low plasma level of vasopressin"
"565","TWrex-diagnose","tuberculosis","55","67","TB","243","245","Through a retrospective survey of patients at District Tuberculosis Units (DTUs) of the National Tuberculosis Programme in Ho Chi Minh City, we investigated utilization of private and public health-care providers among people with symptoms of TB"
"566","TWrex-diagnose","myasthenia gravis","63","80","edrophonium","142","153","Tonography of the eye was performed in 15 patients with proven myasthenia gravis and ten control subjects, before and after administration of edrophonium (Tensilon"
"567","TWrex-diagnose","tuberculosis","55","67","PPD","231","235","A varied performance of the assay was observed between tuberculosis and tuberculosis-paratuberculosis mixed infection regarding both the number of positive results and the OD values obtained after stimulation with bovine and avian PPDs"
"568","TWrex-diagnose","tuberculosis","159","171","TB","259","261","This article reports the findings from a clinical study that examined the impact of health education and counseling on the decision of a patient infected with tuberculosis (TB) to complete a regimen of isoniazid (INH) chemoprophylaxis for 6 months to prevent TB"
"569","TWrex-diagnose","TB","83","85","tuberculin","16","26","We compared the tuberculin skin test (TST) to QuantiFERON-TB (QFT) and QuantiFERON-TB Gold (QFT-G) for the detection of latent tuberculosis"
"570","TWrex-diagnose","pulmonary tb","142","154","TB","382","384","To investigate the association between sputum smear status at presentation and local pulmonary immune responses in HIV-infected patients with pulmonary TB, we compared the cellular and cytokine profiles in bronchoalveolar lavage (BAL) fluid obtained from the site of lung disease in 22 sputum smear- and culture-positive, and 17 sputum smear-negative but culture-positive pulmonary TB patients"
"571","TWrex-diagnose","tuberculosis","56","68","TB","115","117","Patients with diabetes mellitus are more susceptible to tuberculosis (TB), and the clinical conditions of diabetic TB patients deteriorate faster than non-diabetic TB patients, but the immunological basis for this phenomenon is not understood clearly"
"572","TWrex-diagnose","TBC","254","257","PPD-","109","113","Subjects were divided into 18 healthy volunteers without detectable reaction to purified protein derivative (PPD-), 18 health care workers with a recent conversion to PPD, 20 patients with active pulmonary tuberculosis (TBC) and 15 patients with treated TBC at 6 months of therapy"
"573","TWrex-diagnose","tuberculosis","92","104","purified protein derivative","58","85","In areas of high transmission, the algorithm excludes the purified protein derivative of M. tuberculosis skin test"
"574","TWrex-diagnose","tuberculosis","48","60","TB","159","161","Our results suggest that latency antigens of M. tuberculosis may be promising targets for developing more effective recombinant BCG strains to protect against TB"
"575","TWrex-diagnose","tuberculosis","25","37","TB","39","41","To inform development of tuberculosis (TB) control strategies, we characterized a total of 2,261 Mycobacterium tuberculosis complex isolates by using multiple phenotypic and molecular markers, including polymorphisms in repetitive sequences (spoligotyping and variable-number tandem repeats [VNTRs]) and large sequence and single-nucleotide polymorphisms"
"576","TWrex-diagnose","infection","112","121","tuberculin","28","38","In this study, we conducted tuberculin skin tests to estimate the prevalence and annual risk of M. tuberculosis infection in first-grade schoolchildren in Taiwan Province"
"577","TWrex-diagnose","tuberculosis","109","121","TB","188","190","IGRAs showed poor agreement with the tuberculin skin test (TST), except in countries with high incidences of tuberculosis (TB), but generally correlated better with markers of exposure to TB including during contact investigation"
"578","TWrex-diagnose","pituitary","36","45","arginine","382","390","Acta Paediatr Scand, 65:177, 1976.--Pituitary-adrenal reserve was evaluated in control and hypopituitary subjects by comparing the 8 a.m. plasma 11-deoxycorticoid response (11-DOCS) to a single midnight oral dose of metyrapone (short test) with 1) the 8 a.m. 11-DOCS increase under repeated oral doses of metyrapone (prolonged test) and 2) with the plasma corticoid response during arginine-insulin test"
"579","TWrex-diagnose","malignant hyperthermia","145","167","halothane","25","34","At high concentration of halothane, freeze fracture replicas show small unilamellar vesicles or mixed micelles, uniformly sprayed in the case of malignant hyperthermia membranes but mainly aggregated for the normal ones"
"580","TWrex-diagnose","cushing's syndrome","10","28","dexamethasone","355","368","A case of Cushing's Syndrome is discussed, induced by ectopic secretion of ACTH by a Benign Bronchial Carcinoid Tumor, which due to its clinical features (asymptomatic and invisible to conventional radiology and associated with typical signs of Chronic Hypercortisolism) and biochemical findings (ACTH only slightly raised and suppression with high doses dexamethasone), simulated an hypophyseal origin, the pulmonary tumor being showed only after 3 years of the diagnosis of Cushing's Syndrome"
"581","TWrex-diagnose","tuberculosis","176","188","TB","244","246","Moreover, a considerable number of sera from healthy controls, especially from younger age groups, had high anti-PGL-tb titres, which implies that environmental exposure to M. tuberculosis is much higher than has been estimated from the actual TB cases"
"582","TWrex-diagnose","tb","16","18","TB","33","35","The hybrid gene tb, encoding the TB, was correctly expressed in Escherichia coli BL21 and Pichia pastoris GS115"
"583","TWrex-diagnose","tuberculosis","42","54","tuberculin","88","98","Out of these 36 subjects - of whom 12 had tuberculosis-with positive skin test with one tuberculin, only 11 had a positive result with the other, the mean diameter of the latter being 50% lower"
"584","TWrex-diagnose","tuberculosis","59","71","TB","73","75","The purpose of this study was to compare the occurrence of tuberculosis (TB) and the outcome of treatment between TB patients living in urban and rural areas"
"585","TWrex-diagnose","tuberculosis","0","12","TB","14","16","Tuberculosis (TB) remains a serious public health problem, worsened by an increased frequency of multidrug-resistant (MDR) Mycobacterium tuberculosis strains"
"586","TWrex-diagnose","hyperresponsiveness","227","246","methacholine","268","280","We determined (1) the FEV1 response of all patients to the inhalation of NaCl (the difference between the FEV1 before NaCl and the FEV1 after NaCl), and (2) the correlation between the response to saline solution and bronchial hyperresponsiveness (BHR) measured using methacholine"
"587","TWrex-diagnose","tuberculosis","75","87","tuberculin","14","24","In a study of tuberculin skin tests in 216 consecutive untreated pulmonary tuberculosis patients, one showed central necrosis at 48 h: there was no effective blood flow at the centre of this lesion, but the periphery was markedly hyperaemic"
"588","TWrex-diagnose","Cushing","10","19","dexamethasone","355","368","A case of Cushing's Syndrome is discussed, induced by ectopic secretion of ACTH by a Benign Bronchial Carcinoid Tumor, which due to its clinical features (asymptomatic and invisible to conventional radiology and associated with typical signs of Chronic Hypercortisolism) and biochemical findings (ACTH only slightly raised and suppression with high doses dexamethasone), simulated an hypophyseal origin, the pulmonary tumor being showed only after 3 years of the diagnosis of Cushing's Syndrome"
"589","TWrex-diagnose","bronchial hyperresponsiveness","25","54","metacholine","66","77","Moreover, the Ag-induced bronchial hyperresponsiveness to inhaled metacholine was almost completely blocked"
"590","TWrex-diagnose","infection","214","223","blood test","166","176","The prospective study was conducted over one year and COPD patients admitted to hospital with exacerbations were included in the study if they had a positive D-dimer blood test and no evidence of acute respiratory infection"
"591","TWrex-diagnose","tuberculosis","152","164","tuberculin","92","102","We assessed the characteristics of the QuantiFERON-Gold In-Tube (QFT-GIT) compared with the tuberculin skin test (TST) in 198 refugees of all ages from tuberculosis-endemic countries"
"592","TWrex-diagnose","tuberculosis","71","83","tuberculin","197","207","Some 840 bacille Calmette-Guérin (BCG)-vaccinated healthy controls and tuberculosis patients from two Chinese hospitals were submitted to comparative skin tests with purified protein derivative of tuberculin (PPD; as reference) and with the antigen complex A60 from Mycobacterium bovis BCG"
"593","TWrex-diagnose","tuberculosis","17","29","TB","31","33","Beijing genotype tuberculosis (TB) accounted for 73.8 % (240/325) of the isolates"
"594","TWrex-diagnose","hyperreactivity","133","148","methacholine","167","179","In conscious, permanently instrumented, unrestrained, ovalbumin-sensitized guinea-pigs the development of allergen-induced bronchial hyperreactivity to histamine- and methacholine-inhalation was investigated after the early as well as after the late asthmatic response"
"595","TWrex-diagnose","diabetes insipidus","37","55","vasopressin","110","121","All seven cases of severe neurogenic diabetes insipidus diagnosed by the indirect tests were confirmed by the vasopressin assay"
"596","TWrex-diagnose","tuberculosis","94","106","PPD","160","163","Though tubercle bacilli were not isolated from her sputum, pulmonary lesions considered to be tuberculosis due to their typical location and nature, a positive PPD skin test, and the response to antituberculous drugs"
"597","TWrex-diagnose","tuberculosis","96","108","TB","176","178","The unrecognized case of tuberculosis is much more likely to be the source of transmission of M tuberculosis than is the individual who has a diagnosis of TB or &quot;rule-out TB"
"598","TWrex-diagnose","tuberculosis","70","82","TB","96","98","Sputum was positive for acid-fast bacilli and Amplified Mycobacterium Tuberculosis Direct Test (TB-MTD) was positive"
"599","TWrex-diagnose","aspergillosis","188","201","aspergillus fumigatus","17","38","The isolation of Aspergillus fumigatus from airway secretions from patients with cystic fibrosis (CF) is common and usually denotes asymptomatic colonization or allergic broncho-pulmonary aspergillosis (ABPA"
"600","TWrex-diagnose","neurogenic bladder","71","89","chloride","27","35","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"601","TWrex-diagnose","cortex","97","103","hormone","20","27","Adrenocorticotropic hormone (ACTH) controls release of cortisol which is produced by the adrenal cortex and enables the body to cope with stress; cortisol is replaced with prednisolone given orally"
"602","TWrex-diagnose","tuberculosis","122","134","derivative","85","95","Although delayed-type hypersensitivity skin testing with tuberculin purified protein derivative (PPD) is the standard for tuberculosis screening, its variability suggests the need for a more sensitive, noninvasive test"
"603","TWrex-diagnose","neurogenic bladder","71","89","bethanechol chloride","15","35","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently"
"604","TWrex-diagnose","aspergillosis","188","201","aspergillus","17","28","The isolation of Aspergillus fumigatus from airway secretions from patients with cystic fibrosis (CF) is common and usually denotes asymptomatic colonization or allergic broncho-pulmonary aspergillosis (ABPA"
"605","TWrex-diagnose","erectile dysfunction","188","208","papaverine","97","107","We aimed to compare the electrical activity of corpus cavernosum before and after intracavernous papaverine injection and to determine the blood lipid profile in vascular and non-vascular erectile dysfunction, and also to assess whether vascular pathology and abnormal blood lipid levels impair cavernosal smooth-muscle relaxation"
"606","TWrex-diagnose","tumor","136","142","DTPA","11","15","Gadolinium-DTPA was used safely in 23 human subjects with brain tumors, hepatic tumors and cysts, and a variety of abdominal and pelvic tumors"
"607","TWrex-diagnose","tuberculosis","28","40","TB","225","227","After clinical examination, tuberculosis (TB) was considered the likely diagnosis in 256 cases, of which 132 were offered an antituberculous treatment according to the current recommendations of the Swiss Association against TB"
"608","TWrex-diagnose","tuberculosis","49","61","PPD-","143","147","Separated antigens were probed with T cells from tuberculosis patients and purified protein derivative (PPD)-positive (PPD+) and PPD-negative (PPD-) contacts as well as normal healthy donors"
"609","TWrex-diagnose","syndrome","57","65","dexamethasone","237","250","A 25-year-old primigravid woman presented with Cushing's syndrome at 23 weeks gestation; serum cortisol was 1090 nmol/l at 0900 h, 1230 nmol/l at 2200 h; basal urinary free cortisol excretion was 3680 nmol/24 h, and 8830 nmol/24 h after dexamethasone 8 mg daily for 48 hours; plasma ACTH was"
"610","TWrex-diagnose","tuberculosis","222","234","PPD","242","245","The antigens studied were an unheated sterile culture filtrate of Mycobacterium tuberculosis, tuberculin purified protein derivative (PPD) from M. tuberculosis (PPDa), purified cytoplasmic protein antigens 5 and 6 from M. tuberculosis, and a PPD prepared from M. kansasi (PPDk"
"611","TWrex-diagnose","tuberculosis","80","92","tuberculin","113","123","A case of miliary tuberculosis associated with two different forms of cutaneous tuberculosis and a negative Heaf tuberculin test is reported"
"612","TWrex-diagnose","tuberculosis","111","123","TB","39","41","To inform development of tuberculosis (TB) control strategies, we characterized a total of 2,261 Mycobacterium tuberculosis complex isolates by using multiple phenotypic and molecular markers, including polymorphisms in repetitive sequences (spoligotyping and variable-number tandem repeats [VNTRs]) and large sequence and single-nucleotide polymorphisms"
"613","TWrex-diagnose","diabetes insipidus","208","226","vasopressin","110","121","In an attempt to clarify the mechanism responsible for the prolonged effect of DDAVP (1-desamino-8-D-arginine vasopressin), plasma levels of DDAVP and nephrogenous cyclic AMP were determined in patients with diabetes insipidus after a single intranasal administration of 10 micrograms of DDAVP"
"614","TWrex-diagnose","aspergillosis","394","407","aspergillus","342","353","The present study was designed to investigate a possible association between alleles carried at position -1082 in the promoter region of the IL-10 gene and clinical data on 378 patients with CF. After adjustment for potential confounding variables, a significant relationship was found between the -1082GG genotype and both colonization with Aspergillus fumigatus and allergic bronchopulmonary aspergillosis"
"615","TWrex-diagnose","bacillus","144","152","tuberculin","75","85","The diagnosis of an infection is based on a study of the skin responses to tuberculin and those on tuberculosis on the evidence of the tubercle bacillus"
"616","TWrex-diagnose","tuberculosis","97","109","tuberculin","125","135","We report the case of a psoriatic patient, who, despite a negative screening for infection by M. tuberculosis including both tuberculin skin test (TST) and chest X-ray, developed after 4 months of infliximab treatment, a severe pulmonary, lymphnodal and intestinal tuberculosis during infliximab treatment"
"617","TWrex-diagnose","tuberculosis","109","121","tuberculin","37","47","IGRAs showed poor agreement with the tuberculin skin test (TST), except in countries with high incidences of tuberculosis (TB), but generally correlated better with markers of exposure to TB including during contact investigation"
"618","TWrex-diagnose","tuberculosis","183","195","purified protein derivative","104","131","A presumptive diagnosis of tuberculosis was made on the basis of 10 mm or more of induration to 5 TU of purified protein derivative and a chest film or other findings compatible with tuberculosis"
"619","TWrex-diagnose","aspergillosis","98","111","aspergillus fumigatus","123","144","The efficacy and toxicity of free and liposome intercalated amphotericin-B (Amp-B) in controlling Aspergillosis, caused by Aspergillus fumigatus in BALB/c mice were studied"
"620","TWrex-diagnose","tuberculosis","61","73","TB","106","108","The present data demonstrate the specificity of ESAT-6 of M. tuberculosis and its ability to discriminate TB patients from controls, including leprosy patients"
"621","TWrex-diagnose","pheochromocytoma","53","69","phenoxybenzamine hydrochloride","132","162","In a 54-year-old man with a norepinephrine-secreting pheochromocytoma, resistance developed to the alpha-adrenergic blocking agent, phenoxybenzamine hydrochloride"
"622","TWrex-diagnose","tuberculosis","109","121","TB","123","125","IGRAs showed poor agreement with the tuberculin skin test (TST), except in countries with high incidences of tuberculosis (TB), but generally correlated better with markers of exposure to TB including during contact investigation"
"623","TWrex-diagnose","TB","167","169","tuberculin","295","305","Screening of his contacts by tuberculin skin tests (2TU RT23 W. Tw.80) provided data for analyzing the usefulness of tuberculin tests for monitoring of propagation of TB infection among BCG vaccinated population with high TB prevalence in the A statistically significant difference was found in tuberculin reactivity between 543 contacts and 232 individuals who had not reported contact with, the patient"
"624","TWrex-diagnose","tuberculosis","0","12","TB","14","16","Tuberculosis (TB) continues to be a major cause of morbidity and mortality throughout the world"
"625","TWrex-diagnose","TB","188","190","tuberculin","37","47","IGRAs showed poor agreement with the tuberculin skin test (TST), except in countries with high incidences of tuberculosis (TB), but generally correlated better with markers of exposure to TB including during contact investigation"
"626","TWrex-diagnose","tuberculosis","59","71","TB","73","75","CD8+ T cells derived from HLA-A*0201+ patients with active tuberculosis (TB) as well as tuberculin skin test-positive individuals who had no history of TB were used as effector cells to determine whether these epitopes are recognized by in vivo-primed CTLs"
"627","TWrex-diagnose","tuberculosis","0","12","TB","14","16","Tuberculosis (TB) remains to be a global health problem"
"628","TWrex-diagnose","tuberculosis","40","52","TB","109","111","The genotypic characteristics of the M. tuberculosis predominant LAM strain that was responsible for 31 % of TB cases in this setting are presented"
"629","TWrex-diagnose","tumour","27","34","DTPA","161","165","32 patients with abdominal tumours or inflammatory abdominal diseases were examined by MRI (0.5 T) prior to and after oral administration of gadolinium-DTPA (Gd-DTPA"
"630","TWrex-diagnose","malignant hyperthermia","174","196","halothane","162","171","Family II is the group of greatest pharmacogenetic and clinical interest, since it is responsible of the polymorphism of the response to different drugs, such as halothane, (malignant hyperthermia), ethanol (alcohol intolerance), nitrosamine, (cancer), debrisoquine (hypotension), spartein (excessive uterine contractions"
"631","TWrex-diagnose","tuberculosis","279","291","tuberculin","211","221","The involvement of occupational medicine units in health training in national public health programs and especially in programs combating tuberculosis must be a high-priority activity, because studies show that tuberculin conversion rates diminish significantly when programs of tuberculosis sensitization (information, education and communication), prevention (vaccination), and control (screening and treatment) are widely available to healthcare professionals, even those who have direct and constant with patients with tuberculosis"
"632","TWrex-diagnose","malabsorption","65","78","vitamin a","98","107","Vitamin A malnutrition in cirrhotics may be caused by poor diet, malabsorption, decreased hepatic vitamin A uptake, and decreased hepatic storage capacity for vitamin A. In some cirrhotic patients zinc deficiency and or protein deficiency may limit the ability to respond to vitamin A. Combined vitamin A and zinc deficiencies are common in cirrhotics and either may result in abnormal dark adaptation or impaired taste and smell"
"633","TWrex-diagnose","tuberculosis","38","50","tuberculin","110","120","Despite this, a greater percentage of tuberculosis patients in each country responded to the specific reagent Tuberculin than did the control populations and their mean positive induration sizes were consistently larger"
"634","TWrex-diagnose","tuberculosis","233","245","tuberculin","163","173","Incorporation of these tests into programs for targeted testing of latent tuberculosis infection will reduce false-positive and false-negative results inherent in tuberculin testing, equipping clinicians with more accurate tools for tuberculosis control and elimination in the 21st century"
"635","TWrex-diagnose","impotence","81","90","papaverine","119","129","The authors present the seamy side of the beneficial practice to handle erectile impotence with papaverine or with the papaverine-Regitin combination"
"636","TWrex-diagnose","depression","145","155","dexamethasone","52","65","The aim of the present study was to investigate how dexamethasone, a synthetic glucocorticoid, and norepinephrine, both of which are involved in depression, interact to affect aspects of neuronal plasticity"
"637","TWrex-diagnose","tuberculosis","181","193","TB","195","197","The aqueous fraction of Triton X-100-soluble proteins (TSP-Aq) of Mycobacterium tuberculosis cell wall was reported to stimulate T-cell responses in peripheral blood monocytes from tuberculosis (TB) patients and to induce Th1 cytokines, suggesting presence of protective antigens"
"638","TWrex-diagnose","syndrome","36","44","dexamethasone","50","63","In a 10-year-old boy with Cushing's syndrome, the dexamethasone suppression test, the metyrapone test, and both basal and corticotropin-releasing factor-stimulated corticotropin levels all indicated a primary adrenal disorder"
"639","TWrex-diagnose","pulmonary tb","67","79","TB","106","108","Interestingly, Rv1168c antigen permits diagnosis of smear-negative pulmonary TB as well as extrapulmonary TB cases, which are often difficult to diagnose by conventional tests"
"640","TWrex-diagnose","tuberculosis","324","336","TB","385","387","The certification of air-purifying respirators under these proposed requirements would also enable respirator users to select from a broader range of certified respirators that meet the current performance criteria recommended by CDC for respiratory devices used in health-care settings for protection against Mycobacterium tuberculosis, the infectious agent that causes tuberculosis (TB"
"641","TWrex-diagnose","thyroid","390","397","thyrotropin releasing hormone","434","463","When sleep polygraphic variables, neuroendocrine parameters (dexamethasone suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive episode) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the dexamethasone suppression test response at 16:00 h, and the percentage of time awake during the night"
"642","TWrex-diagnose","diabetes insipidus","4","22","antidiuretic hormone","71","91","The diabetes insipidus responded to chlorpropamide, suggesting partial antidiuretic hormone deficiency"
"643","TWrex-diagnose","tuberculosis","54","66","TB","21","23","Sixty percent of the TB patients indeed recognized M. tuberculosis ESAT-6, as did 50% of the leprosy patients and 60% of the non-TB controls"
"644","TWrex-diagnose","lung","137","141","xenon","218","223","The regional distribution of ventilation (Vr), perfusion (Qr) (expressed in absolute values) and the regional distribution of ventilated lung volume, of ventilation and of perfusion (expressed as %) were studied using Xenon 133 in 13 subjects with a unilateral pleural effusion of proven or presumed tuberculous origin"
"645","TWrex-diagnose","depression","125","135","dexamethasone","74","87","Neuroendocrine abnormalities present in depressive illness and use of the dexamethasone suppression test (DST) in diagnosing depression are reviewed"
"646","TWrex-diagnose","infection","87","96","tuberculin","163","173","Incorporation of these tests into programs for targeted testing of latent tuberculosis infection will reduce false-positive and false-negative results inherent in tuberculin testing, equipping clinicians with more accurate tools for tuberculosis control and elimination in the 21st century"
"647","TWrex-diagnose","tuberculosis","0","12","TB","14","16","Tuberculosis (TB) is a leading cause of global mortality"
"648","TWrex-diagnose","TB","98","100","tuberculin","162","172","These data were compared with data obtained from 15 patients with newly diagnosed pulmonary TB (N-TB), 22 patients with treatment failure (TF-TB), and 19 healthy tuberculin reactors (HTR"
"649","TWrex-diagnose","tuberculosis","15","27","TB","142","144","Of 95 cases of tuberculosis diagnosed at Grady Memorial Hospital in 1972, only six patients were not already diagnosed or suspected of having TB at the time of admission to the hospital"
"650","TWrex-diagnose","tuberculosis","149","161","TB","163","165","Bone marrow biopsy was performed to investigate the cause of thrombocytopenia and demonstrated multiple tiny caseating granulomas suggesting miliary tuberculosis (TB"
